Timestamp,duration,left_sensor1,left_sensor2,left_sensor3,left_sensor4,left_sensor5,right_sensor1,right_sensor2,right_sensor3,right_sensor4,right_sensor5,left_stride_F,left_balance_x,left_balance_y,right_stride_F,right_balance_x,right_balance_y,body_COP_x,body_COP_y
16:05.3,5,145,278,471,411,601,0,0,0,0,5,298,193,-303,0,0,-5,-1305,-308
16:05.4,5,145,278,471,411,601,0,0,0,0,4,298,193,-303,0,0,-4,-1306,-307
16:05.4,5,119,236,482,387,604,0,0,0,0,4,279,246,-325,0,0,-4,-1266,-329
16:05.4,5,117,217,510,369,602,0,0,0,0,4,281,293,-320,0,0,-4,-1248,-324
16:05.4,5,117,217,510,369,602,0,0,0,0,4,281,293,-320,0,0,-4,-1248,-324
16:05.4,5,117,217,510,369,602,0,0,0,0,3,281,293,-320,0,0,-3,-1249,-323
16:05.5,5,144,243,541,386,596,0,0,0,0,3,309,298,-286,0,0,-3,-1288,-289
16:05.5,5,172,272,566,404,587,0,0,0,0,3,336,294,-250,0,0,-3,-1324,-253
16:05.5,5,172,272,566,404,587,2,0,0,0,3,336,294,-250,0,0,-2,-1324,-252
16:05.5,5,172,272,566,404,587,11,0,0,0,3,336,294,-250,3,0,0,-1321,-249
16:05.6,6,209,308,591,427,570,11,0,0,0,3,369,283,-200,3,0,0,-1359,-200
16:05.6,6,263,338,610,441,533,11,0,0,0,3,403,272,-129,3,0,0,-1371,-128
16:05.6,6,263,338,610,441,533,17,0,0,0,4,403,272,-129,5,0,1,-1368,-127
16:05.6,6,263,338,610,441,533,20,0,0,0,3,403,272,-129,6,0,3,-1368,-125
16:05.6,6,338,380,630,451,472,20,0,0,0,3,449,250,-22,6,0,3,-1362,-19
16:05.7,6,338,380,630,451,472,9,0,0,0,3,449,250,-22,3,0,0,-1366,-22
16:05.7,6,403,404,644,457,322,9,0,0,0,3,483,240,161,3,0,0,-1256,161
16:05.7,6,403,404,644,457,322,9,0,0,0,3,483,240,161,3,0,0,-1256,161
16:05.7,6,499,436,665,462,118,9,0,0,0,3,533,229,415,3,0,0,-1107,415
16:05.8,6,499,436,665,462,118,0,0,0,0,2,533,229,415,0,0,-2,-1111,413
16:05.8,6,576,457,683,428,34,0,0,0,0,2,572,226,538,0,0,-2,-1032,536
16:05.8,6,576,457,683,428,34,0,0,0,0,0,572,226,538,0,0,0,-1034,538
16:05.8,6,615,463,695,269,0,0,0,0,0,0,591,232,591,0,0,0,-860,591
16:05.9,6,615,463,695,269,0,0,0,13,0,352,591,232,591,4,13,-347,-503,243
16:05.9,6,615,463,695,269,0,0,0,65,69,539,591,232,591,21,65,-517,-230,73
16:05.9,6,630,413,696,103,0,0,0,65,69,539,579,283,579,21,65,-517,-53,62
16:05.9,6,634,249,646,13,0,0,0,65,69,539,509,397,509,21,65,-517,106,-7
16:06.0,6,634,249,646,13,0,0,21,162,319,554,509,397,509,61,141,-493,411,16
16:06.0,6,610,101,593,0,0,0,21,162,319,554,434,492,434,61,141,-493,499,-58
16:06.0,6,610,101,593,0,0,7,42,224,375,582,434,492,434,91,182,-491,613,-56
16:06.0,6,360,52,531,0,0,7,42,224,375,582,314,479,314,91,182,-491,733,-176
16:06.0,6,360,52,531,0,0,24,88,267,428,600,314,479,314,126,179,-473,840,-159
16:06.1,6,189,32,201,0,0,24,88,267,428,600,140,169,140,126,179,-473,1013,-333
16:06.1,6,189,32,201,0,0,31,102,310,467,605,140,169,140,147,208,-457,1078,-316
16:06.1,6,12,5,0,0,0,31,102,310,467,605,5,-5,5,147,208,-457,1213,-451
16:06.2,6,38,0,0,0,0,31,102,310,467,605,12,0,12,147,208,-457,1206,-444
16:06.2,6,38,0,0,0,0,28,83,326,489,612,12,0,12,145,243,-466,1233,-453
16:06.2,6,38,0,0,0,0,19,84,346,503,611,12,0,12,149,262,-461,1250,-448
16:06.2,6,15,0,1,0,0,19,84,346,503,611,5,1,5,149,262,-461,1258,-456
16:06.2,6,15,0,1,0,0,7,128,371,511,603,5,1,5,168,243,-434,1277,-429
16:06.2,6,15,0,0,0,0,7,128,371,511,603,5,0,5,168,243,-434,1277,-429
16:06.3,6,15,0,0,0,0,17,220,407,517,590,5,0,5,214,187,-375,1316,-370
16:06.3,6,24,0,0,0,0,17,220,407,517,590,8,0,8,214,187,-375,1313,-367
16:06.3,6,24,0,0,0,0,86,309,439,530,571,8,0,8,278,130,-293,1371,-285
16:06.3,6,41,1,0,0,0,86,309,439,530,571,14,-1,14,278,130,-293,1365,-279
16:06.3,6,41,1,0,0,0,206,389,469,544,531,14,-1,14,354,80,-176,1415,-162
16:06.4,6,51,0,0,0,0,206,389,469,544,531,17,0,17,354,80,-176,1412,-159
16:06.4,6,51,0,0,0,0,319,439,501,553,455,17,0,17,419,62,-35,1410,-18
16:06.4,6,54,3,0,0,0,319,439,501,553,455,19,-3,19,419,62,-35,1408,-16
16:06.4,6,54,3,0,0,0,405,496,541,558,336,19,-3,19,480,45,144,1355,163
16:06.5,7,44,5,0,0,0,405,496,541,558,336,16,-5,16,480,45,144,1358,161
16:06.5,7,44,5,0,0,0,494,542,568,554,152,16,-5,16,534,26,382,1224,399
16:06.5,7,19,4,0,3,0,494,542,568,554,152,7,-4,7,534,26,382,1229,390
16:06.5,7,19,4,0,3,0,565,584,586,512,51,7,-4,7,578,2,527,1130,535
16:06.6,7,0,4,4,5,160,565,584,586,512,51,2,0,-157,578,2,527,973,370
16:06.6,7,0,4,4,5,160,607,610,592,377,30,2,0,-157,603,-18,573,842,415
16:06.6,7,0,15,3,12,470,607,610,592,377,30,6,-12,-464,603,-18,573,522,109
16:06.7,7,0,15,3,12,470,632,619,568,0,5,6,-12,-464,606,-51,601,123,137
16:06.7,7,0,59,33,105,582,632,619,568,0,5,30,-26,-551,606,-51,601,-106,50
